gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000068329,Htra2,448,326,450,454,428,329,429,325,434,643
ENSMUSG00000068335,Dok1,234,147,184,462,439.96,77,250,148,371,478
ENSMUSG00000068341,Reg3d,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068349,Gml,21,7,14,3,1,6,13,6,0,0
ENSMUSG00000068373,D430041D05Rik,133.06,72,62,13,45,21,94,24,22,99
ENSMUSG00000068391,Chrac1,907.01,703,883,503,491,788,1117,767,564,721
ENSMUSG00000068392,Rnase13,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000068394,Cep152,655,508,618,446,435,377,464,340,303,542
ENSMUSG00000068399,Gm7247,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068407,Rnase12,0,7,9,6,0,0,3,1,0,1
ENSMUSG00000068417,Pnp2,6.79,16.86,26.47,14.95,4.24,10.77,15.65,3.9,3.79,13.65
ENSMUSG00000068428,Gmnc,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068431,Olfr742,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068437,Olfr725,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068452,Duox2,168.97,102.46,59.84,231.28,226.1,203.53,214.08,156.79,383.18,55.8
ENSMUSG00000068457,Uty,0,2109,2248,0,1977,2422,0,2393,2543,0
ENSMUSG00000068479,Mfap1a,4161.99,3165.63,4054.09,2982.38,2709.84,3747.94,4168.65,3265.16,2702.61,3571.21
ENSMUSG00000068506,Gm5800,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068522,Aard,11,1,7,1,3,2,24,4,9,9
ENSMUSG00000068523,Gng5,6873.74,5647.91,6054.45,5615.13,4995.17,6126.07,7176.89,5744.96,4747.77,8416.51
ENSMUSG00000068535,Olfr169,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068536,Doxl2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068537,Gm10242,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068547,Clca6,0,0,0,1,4,1,2,3,0,1
ENSMUSG00000068551,Zfp467,1023.81,1046,1081.54,916,790.01,1005,928.99,980,842,951
ENSMUSG00000068566,Myadm,7043.86,5698.46,11017.97,8450.1,11623.51,3403.83,6077.33,4526.05,6858.22,8256.14
ENSMUSG00000068574,Olfr458,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068579,Rpl7a-ps3,1.48,0,1.45,6.32,2.84,4.38,1.53,2.41,2.1,1.46
ENSMUSG00000068580,Zfyve19,1060,1000,993,725,606,839.85,1083,679,531,984
ENSMUSG00000068587,Mgam,6,4,53,1,12,7,10,11,1,2
ENSMUSG00000068600,Hemt1,7,3,2,0,1,0,1,1,0,0
ENSMUSG00000068601,Gm10244,2,8,11,3,6,6,11,1,2,3
ENSMUSG00000068604,Gm8225,0,0,3.18,0,3.54,2.04,7.17,0,2.07,1.5
ENSMUSG00000068606,Gm4841,0,0,0,2,0,0,1,0,1,0
ENSMUSG00000068614,Actc1,0,0,0,0,2,0,0,0,0,2
ENSMUSG00000068615,Gjd2,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000068617,Efcab1,1548,1257,1452,740,686,1173,1954,1386,780,878
ENSMUSG00000068631,Gm7676,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068647,Olfr1278,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068663,Clec16a,6000,6298.45,6431.09,5281,5885.48,7273,8229,4887,2906,4889
ENSMUSG00000068686,Cd59b,8,5,2,10,17,3,7.56,7,14,14
ENSMUSG00000068696,Gpr88,5,0,1,6,10,1,3,6,20,17
ENSMUSG00000068697,Myoz1,1,0,1,4,1,1,0,0,0,2
ENSMUSG00000068699,Flnc,827,881,1331,2001.01,2196,399,1022.36,591,1611.93,1953
ENSMUSG00000068706,Gm10250,167.51,119.81,89.57,116.63,68.5,120.48,156.03,125.66,111.16,159.84
ENSMUSG00000068732,Tmem167b,4221,3956,4015.68,3413.91,3636,3866,5083.62,3730,2724,4516
ENSMUSG00000068735,Trp53i11,4977,4744.1,6592.91,5126,5273.22,4167,5409.08,4056.98,3506,4945
ENSMUSG00000068739,Sars,11242.85,10344.25,9626,9228,9227,12329.99,13563.04,10560,7734,10550
ENSMUSG00000068740,Celsr2,49717.19,60565.97,61212.23,39374.53,50901.17,52193.25,54069.69,39937.95,28582.21,44771.36
ENSMUSG00000068742,Cry2,6045.87,6920,7765.92,3199,5136,12698.77,9146,6440.79,3289.02,4504
ENSMUSG00000068744,Psrc1,571,358,506,160,284,261,268,331,188,357
ENSMUSG00000068745,Mybphl,0,0,1,0,0,0,2,0,0,0
ENSMUSG00000068747,Sort1,18453.43,19940.64,17813.97,10224,11503.09,23872.17,22482.96,17330.68,8956.01,14506.9
ENSMUSG00000068748,Ptprz1,4758,4177.01,3168.91,4175.84,2616,5737,4923,4171,4271.88,3052.98
ENSMUSG00000068749,Psma5,2693.08,1824.87,2273.72,2450.09,1732.11,2049.7,3394.11,2589.15,2234.4,2881.36
ENSMUSG00000068758,Il3ra,186,123,198,238,278,53,271,89,233,255
ENSMUSG00000068762,Gstm6,96,106,126,92,52,172,135,111,59,97
ENSMUSG00000068794,Col28a1,179,170,135,227,117,67,238,152,205,229
ENSMUSG00000068798,Rap1a,2813.94,2142.68,2683.65,2840.47,2033.05,2614.63,3738.91,2883.27,2715.41,3293.75
ENSMUSG00000068806,Olfr1259,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068808,Olfr1189,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068809,Olfr1188,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068810,Olfr1187-ps1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068814,Olfr1145,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068815,Olfr1143,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068816,Olfr152,0,0,0,0,0,1,0,0,0,1
ENSMUSG00000068817,Olfr1140,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068818,Olfr1132,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068819,Olfr1131,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000068823,Csde1,42828.78,37860.72,40632.91,32945.42,30234.85,44778.05,53661.74,43954.96,30139.57,45823.02
ENSMUSG00000068854,Hist2h2be,157,116,191,100,124,136,192,140,70,405
ENSMUSG00000068855,Hist2h2ac,5414.24,1952.28,3954.31,2086.33,1399.92,1588.79,3572.16,3675.8,2643.45,4572.31
ENSMUSG00000068856,Sf3b4,4383.28,4165.2,4948.02,2953.08,3372.83,4313.85,4670.93,3980.53,2215.17,3611.22
ENSMUSG00000068859,Sp9,1998,2167.68,2054,1633,1402,1525,2372,1766,1344.07,2428
ENSMUSG00000068860,Gm128,80.75,89.02,88.37,44.77,65.3,67.93,87.16,43.97,40.11,53.57
ENSMUSG00000068874,Selenbp1,2230.93,2425.05,2418.59,2662.9,8502.31,1438.55,1178.3,875.75,2476.42,25956.94
